    123 NORMALIZABLES	creatinina
     72 NORMALIZABLES	corticoides
     71 PROTEINAS	hemoglobina
     67 NORMALIZABLES	prednisona
     53 PROTEINAS	Hb
     51 PROTEINAS	PCR
     46 PROTEINAS	PSA
     46 PROTEINAS	LDH
     43 NORMALIZABLES	calcio
     39 NORMALIZABLES	urea
     38 PROTEINAS	albúmina
     38 NORMALIZABLES	glucosa
     32 UNCLEAR	cigarrillos
     31 PROTEINAS	IgM
     31 NORMALIZABLES	oxígeno
     30 NORMALIZABLES	bilirrubina
     28 PROTEINAS	GPT
     26 PROTEINAS	GGT
     25 PROTEINAS	IgG
     25 PROTEINAS	GOT
     24 NORMALIZABLES	ST
     24 NORMALIZABLES	potasio
     23 PROTEINAS	ANA
     23 NORMALIZABLES	sodio
     23 NORMALIZABLES	fentanilo
     22 PROTEINAS	proteínas
     22 NORMALIZABLES	omeprazol
     22 NORMALIZABLES	bicarbonato
     21 PROTEINAS	transaminasas
     21 NORMALIZABLES	vancomicina
     21 NORMALIZABLES	NPT
     21 NORMALIZABLES	K
     21 NORMALIZABLES	colesterol
     20 UNCLEAR	alcohol
     20 NORMALIZABLES	paracetamol
     20 NORMALIZABLES	dexametasona
     20 NORMALIZABLES	aciclovir
     19 UNCLEAR	tóxicos
     19 PROTEINAS	C3
     18 PROTEINAS	proteínas totales
     18 PROTEINAS	proteína C reactiva
     18 PROTEINAS	amilasa
     18 PROTEINAS	actina
     18 NORMALIZABLES	sertralina
     18 NORMALIZABLES	Na
     17 PROTEINAS	vimentina
     17 PROTEINAS	protrombina
     17 NORMALIZABLES	metilprednisolona
     17 NORMALIZABLES	hierro
     17 NORMALIZABLES	fósforo
     16 PROTEINAS	VEB
     16 PROTEINAS	inmunoglobulinas
     16 NORMALIZABLES	morfina
     15 PROTEINAS	TSH
     15 PROTEINAS	IgA
     15 PROTEINAS	CEA
     15 NORMALIZABLES	vitamina D
     15 NORMALIZABLES	suero
     15 NORMALIZABLES	acenocumarol
     14 PROTEINAS	reactantes de fase aguda
     14 PROTEINAS	fosfatasa alcalina
     14 PROTEINAS	factor reumatoide
     14 PROTEINAS	C4
     14 NORMALIZABLES	triglicéridos
     14 NORMALIZABLES	azatioprina
     14 NORMALIZABLES	ácido acetilsalicílico
     13 PROTEINAS	FA
     13 PROTEINAS	anticuerpos antinucleares
     13 NORMALIZABLES	rifampicina
     13 NORMALIZABLES	P
     13 NORMALIZABLES	magnesio
     12 PROTEINAS	CD4
     12 NORMALIZABLES	silicona
     12 NORMALIZABLES	O2
     12 NORMALIZABLES	midazolam
     12 NORMALIZABLES	metformina
     12 NORMALIZABLES	levofloxacino
     12 NORMALIZABLES	enalapril
     12 NORMALIZABLES	Creatinina
     12 NORMALIZABLES	corticoide
     12 NORMALIZABLES	cisplatino
     11 PROTEINAS	fibrinógeno
     11 PROTEINAS	ferritina
     11 PROTEINAS	ANCA
     11 NORMALIZABLES	tramadol
     11 NORMALIZABLES	tacrolimus
     11 NORMALIZABLES	pregabalina
     11 NORMALIZABLES	noradrenalina
     11 NORMALIZABLES	lidocaína
     11 NORMALIZABLES	cadmio
     11 NORMALIZABLES	Ca
     11 NORMALIZABLES	bupivacaína
     11 NORMALIZABLES	amoxicilina-clavulánico
     11 NORMALIZABLES	ácido fólico
     10 PROTEINAS	S-100
     10 PROTEINAS	CK
     10 PROTEINAS	ALT
     10 PROTEINAS	alfafetoproteína
     10 PROTEINAS	AFP
     10 NORMALIZABLES	suero fisiológico
     10 NORMALIZABLES	PAS
     10 NORMALIZABLES	Mg
     10 NORMALIZABLES	ibuprofeno
     10 NORMALIZABLES	hormonas tiroideas
     10 NORMALIZABLES	furosemida
     10 NORMALIZABLES	esteroides
     10 NORMALIZABLES	Cr
     10 NORMALIZABLES	cocaína
     10 NORMALIZABLES	ciprofloxacino
     10 NORMALIZABLES	ciclofosfamida
     10 NORMALIZABLES	cefepime
     10 NORMALIZABLES	atenolol
