      1 NO_NORMALIZABLES	acido
      1 NO_NORMALIZABLES	ácido
      1 NO_NORMALIZABLES	ácidos poliláctico y poliglicólico
      1 NO_NORMALIZABLES	agar sangre y chocolate
      1 NO_NORMALIZABLES	alfaadrenérgico
      1 NO_NORMALIZABLES	beta y alfaadrenérgico
      1 NO_NORMALIZABLES	Biobrane
      1 NO_NORMALIZABLES	Fluoropirimidinas9
      1 NO_NORMALIZABLES	fluoroquinolonas
      1 NO_NORMALIZABLES	granito
      1 NO_NORMALIZABLES	HDP-Tc99M
      1 NO_NORMALIZABLES	mármol
      1 NO_NORMALIZABLES	monocryl
      1 NO_NORMALIZABLES	Nd:YAG
      1 NO_NORMALIZABLES	Nd-YAG
      2 NO_NORMALIZABLES	pirazolonas
      1 NO_NORMALIZABLES	Polytech
      2 NO_NORMALIZABLES	Strattice
      1 NO_NORMALIZABLES	suero lavador
      1 NO_NORMALIZABLES	Sueroral
      1 NO_NORMALIZABLES	triptanos
      1 NO_NORMALIZABLES	vitamina D4
      1 NORMALIZABLES	02
      1 NORMALIZABLES	123I-MIBG
      1 NORMALIZABLES	17-cetosteroides
      1 NORMALIZABLES	25 hidroxivitamina D
      1 NORMALIZABLES	25-hidroxivitamina D
      1 NORMALIZABLES	25OHCC
      2 NORMALIZABLES	5 fluorouracilo
      1 NORMALIZABLES	5-aminosalicílico
      1 NORMALIZABLES	5-ASA
      1 NORMALIZABLES	5-fluoracilo
      2 NORMALIZABLES	5FU
      3 NORMALIZABLES	5-FU
      1 NORMALIZABLES	67Ga
      1 NORMALIZABLES	67Galio
      2 NORMALIZABLES	6-metilprednisolona
      1 NORMALIZABLES	6-Metil-Prednisolona
      1 NORMALIZABLES	99Tc
      1 NORMALIZABLES	A.I.N.E.
      4 NORMALIZABLES	AAS
      1 NORMALIZABLES	Acalka
      1 NORMALIZABLES	acarbosa
      1 NORMALIZABLES	aceclofenaco
      9 NORMALIZABLES	acenocumarol
      1 NORMALIZABLES	acero
      3 NORMALIZABLES	acetaminofén
      1 NORMALIZABLES	acetato de megestrol
      1 NORMALIZABLES	Acetato de Megestrol
      4 NORMALIZABLES	acetazolamida
      1 NORMALIZABLES	Acetilsalicílico ácido
      1 NORMALIZABLES	acetona
      1 NORMALIZABLES	acetónido de triamcinolona
     15 NORMALIZABLES	aciclovir
      1 NORMALIZABLES	Aciclovir
      1 NORMALIZABLES	acido acetilsalicílico
     10 NORMALIZABLES	ácido acetilsalicílico
      1 NORMALIZABLES	ácido alendrónico
      9 NORMALIZABLES	ácido fólico
      1 NORMALIZABLES	acido folínico
      2 NORMALIZABLES	ácido láctico
      1 NORMALIZABLES	ácido poliglicólico
      4 NORMALIZABLES	ácido úrico
      2 NORMALIZABLES	Ácido úrico
      8 NORMALIZABLES	ácido valproico
